uid,sid,rating
75,0,3
75,1,1
75,2,1
75,3,1
75,4,1
75,5,1
75,6,1
75,7,1
75,8,1
75,9,3
75,10,1
75,11,4
75,12,5
75,13,2
75,14,3
75,15,3
75,16,2
75,17,4
75,18,1
75,19,2
75,20,2
75,21,1
75,22,1
75,23,1
56,24,1
56,25,3
56,26,2
56,27,1
56,28,3
56,29,5
56,30,2
56,31,2
56,32,1
56,33,1
56,34,1
56,13,5
56,35,5
56,36,3
56,37,2
56,16,1
56,17,3
56,38,1
56,39,2
56,40,3
56,41,1
56,42,2
56,43,3
56,44,2
171,45,2
171,46,3
171,47,2
171,48,4
171,29,5
171,49,4
171,31,5
171,33,4
171,50,2
171,51,3
171,52,3
171,35,3
171,53,4
171,54,5
171,14,3
171,15,4
171,55,2
171,16,2
171,17,5
171,38,1
171,56,4
171,57,4
171,58,1
171,59,3
116,60,1
116,61,2
116,62,3
116,63,2
116,64,1
116,65,2
116,66,3
116,33,1
116,10,2
116,13,4
116,52,1
116,14,3
116,37,3
116,55,2
116,16,2
116,18,2
116,39,1
116,19,3
116,40,3
116,67,1
116,59,1
116,68,3
116,69,4
116,70,3
68,71,1
68,4,3
68,72,1
68,73,2
68,74,2
68,75,3
68,33,1
68,11,1
68,35,1
68,53,1
68,17,2
68,18,1
68,76,1
68,77,3
68,19,1
68,78,4
68,42,1
68,57,1
68,44,2
68,79,4
68,59,2
68,80,1
68,81,3
68,70,1
52,82,1
52,83,1
52,4,2
52,72,1
52,84,1
52,85,2
52,5,1
52,30,1
52,6,1
52,86,2
52,87,3
52,65,4
52,7,1
52,34,4
52,88,3
52,53,3
52,89,4
52,14,1
52,55,1
52,18,4
52,39,2
52,90,5
52,20,1
52,70,1
112,91,1
112,92,1
112,93,1
112,94,1
112,72,5
112,73,1
112,84,3
112,95,3
112,96,1
112,53,3
112,89,3
112,54,2
112,14,4
112,37,1
112,15,5
112,55,1
112,18,1
112,97,1
112,19,3
112,98,2
112,99,1
112,57,2
112,100,4
112,101,5
159,102,3
159,103,3
159,104,3
159,83,2
159,4,2
159,105,3
159,106,1
159,107,1
159,74,4
159,86,3
159,108,3
159,109,3
159,50,1
159,110,3
159,111,3
159,37,4
159,17,4
159,76,2
159,56,2
159,112,4
159,101,2
159,113,2
159,81,1
159,70,2
163,114,3
163,115,1
163,116,3
163,117,3
163,118,3
163,119,3
163,120,1
163,103,2
163,121,2
163,122,1
163,123,3
163,124,4
163,24,5
163,83,1
163,48,1
163,4,3
163,72,5
163,29,2
163,85,4
163,30,5
163,125,3
163,126,3
163,127,4
163,128,3
169,129,2
169,61,1
169,130,1
169,131,2
169,4,1
169,84,3
169,63,4
169,125,3
169,126,2
169,132,2
169,133,3
169,11,4
169,52,3
169,16,2
169,18,1
169,38,3
169,39,2
169,134,2
